Model,Size,Task,Image,Prompt,CLIP_Score
SD,512,counting,011.SD_512_counting_11.png,Birthday cake with exactly twenty candles on it,"0,2675"
SD,512,counting,012.SD_512_counting_12.png,Office room with fifteen chairs,"0,2336"
SD,512,conflicting,001.SD_512_conflicting_1.png,A zebra without strips,"0,2723"
SD,512,conflicting,002.SD_512_conflicting_2.png,A penguin in a city,"0,2307"
SD,512,conflicting,003.SD_512_conflicting_3.png,Rainbow colored Ferrari,"0,2606"
SD,512,conflicting,004.SD_512_conflicting_4.png,A giraffe kissing a monkey,"0,3126"
SD,512,conflicting,005.SD_512_conflicting_5.png,A panda inside a cup of tea,"0,2835"
SD,512,conflicting,006.SD_512_conflicting_6.png,A giraffe inside a car,"0,2445"
SD,512,conflicting,007.SD_512_conflicting_7.png,An ant under the sea,"0,2294"
SD,512,conflicting,008.SD_512_conflicting_8.png,A motorcycle inside an oven,"0,2523"
SD,512,conflicting,009.SD_512_conflicting_9.png,A polar bear on the desert,"0,2615"
SD,512,conflicting,010.SD_512_conflicting_10.png,A man walking on the ceiling,"0,2591"
SD,512,conflicting,011.SD_512_conflicting_11.png,A fish eating a pelican,"0,3035"
SD,512,conflicting,012.SD_512_conflicting_12.png,A horse riding  an astronaut in the forest,"0,3353"
SD,512,text,001.SD_512_text_1.png,A sign that says 'Hello',"0,2759"
SD,512,text,002.SD_512_text_2.png,A sign that says 'World',"0,1947"
SD,512,text,003.SD_512_text_3.png,A sign that says 'Hello World',"0,2155"
SD,512,text,004.SD_512_text_4.png,A sign that says 'World Hello',"0,2008"
SD,512,text,005.SD_512_text_5.png,A sign that says 'Speed limit 45',"0,1873"
SD,512,text,006.SD_512_text_6.png,A sign that says 'Do not pass !',"0,2584"
SD,512,text,007.SD_512_text_7.png,A sign that says 'No pedestrians !',"0,2447"
SD,512,text,008.SD_512_text_8.png,A sign that says 'No overtaking !',"0,2348"
SD,512,text,009.SD_512_text_9.png,A sign that says 'No Goods materials',"0,2545"
SD,512,text,010.SD_512_text_10.png,A sign that says 'No hazardous materials',"0,2206"
SD,512,text,011.SD_512_text_11.png,A sign that says 'You must not turn Right!',"0,2827"
SD,512,text,012.SD_512_text_12.png,A sign that says 'Maximum speed limit 80 km',"0,2461"
SD,512,positional,001.SD_512_positional_1.png,A train on top of a surfboard,"0,2457"
SD,512,positional,002.SD_512_positional_2.png,A wine glass on top of a dog,"0,2936"
SD,512,positional,003.SD_512_positional_3.png,A bicycle on top of a boat,"0,2924"
SD,512,positional,004.SD_512_positional_4.png,An umbrella under a spoon,"0,2330"
SD,512,positional,005.SD_512_positional_5.png,A car on the left of a bus,"0,2245"
SD,512,positional,006.SD_512_positional_6.png,A black apple on the right of  a green backpack,"0,2713"
SD,512,positional,007.SD_512_positional_7.png,A carrot on the left of a broccoli,"0,2436"
SD,512,positional,008.SD_512_positional_8.png,A pizza on the right of a suitcase,"0,2488"
SD,512,positional,009.SD_512_positional_9.png,A cat on the right of a tennis racket,"0,2889"
SD,512,positional,010.SD_512_positional_10.png,A stop sign on the right of a refrigerator,"0,2539"
SD,512,positional,011.SD_512_positional_11.png,A sheep to the right of a wine glass,"0,3135"
SD,512,positional,012.SD_512_positional_12.png,A zebra to the right of a fire hydrant,"0,2950"
SD,512,faces,001.SD_512_faces_1.png,Face of a man with a goatee,"0,2397"
SD,512,faces,002.SD_512_faces_2.png,Face of an angry teacher,"0,3067"
SD,512,faces,003.SD_512_faces_3.png,Face of a kid with a tiger make-up,"0,3021"
SD,512,faces,004.SD_512_faces_4.png,Face of an old lady with blue hair and a wide smile,"0,3190"
SD,512,faces,005.SD_512_faces_5.png,A bald man doing a handstand,"0,2910"
SD,512,faces,006.SD_512_faces_6.png,Face of a woman with brown hair looking over her shoulder,"0,2293"
SD,512,faces,007.SD_512_faces_7.png,Sad face of a blonde girl holding a popped balloon,"0,2970"
SD,512,faces,008.SD_512_faces_8.png,Face of a weightlifting white hair Olympic gold medalist lifting 120kg with a referee next to it encouraging him,"0,2491"
SD,512,faces,009.SD_512_faces_9.png,The face of a soldier with camouflaged face painting obscured by leaves,"0,3051"
SD,512,faces,010.SD_512_faces_10.png,A face of a man with a beard with water splashing onto his face,"0,3290"
SD,512,faces,011.SD_512_faces_11.png,A dark messy hair boy rolling his tongue with blue light shinning on his face,"0,2722"
SD,512,faces,012.SD_512_faces_12.png,A young kid with dark eye bags standing in front of her grandma with wrinkles looking at the sky,"0,1926"
SD,1024,coloring,001.SD_1024_coloring_1.png,A red colored car,"0,1942"
SD,1024,coloring,002.SD_1024_coloring_2.png,A black colored car,"0,2342"
SD,1024,coloring,003.SD_1024_coloring_3.png,A pink colored car,"0,2641"
SD,1024,coloring,004.SD_1024_coloring_4.png,A navy blue colored car,"0,2019"
SD,1024,coloring,005.SD_1024_coloring_5.png,A red car and a white sheep,"0,2614"
SD,1024,coloring,006.SD_1024_coloring_6.png,A blue bird and a brown bear,"0,2262"
SD,1024,coloring,007.SD_1024_coloring_7.png,A green apple and a black backpack,"0,2877"
SD,1024,coloring,008.SD_1024_coloring_8.png,A green cup and a blue cell phone,"0,2751"
SD,1024,coloring,009.SD_1024_coloring_9.png,A red pencil in a green cup on a blue table,"0,2424"
SD,1024,coloring,010.SD_1024_coloring_10.png,An office with five desks and seven colorful chairs,"0,2676"
SD,1024,coloring,011.SD_1024_coloring_11.png,An orange bird scaring a blue scarecrow with a red pirate hat,"0,2894"
SD,1024,coloring,012.SD_1024_coloring_12.png,A photo of two pink football balls and three green basketball balls on a bench,"0,2997"
SD,1024,counting,001.SD_1024_counting_1.png,One tennis ball on the court,"0,3051"
SD,1024,counting,002.SD_1024_counting_2.png,Three people crossing  the street,"0,2414"
SD,1024,counting,003.SD_1024_counting_3.png,Two monkeys eating banana,"0,2769"
SD,1024,counting,004.SD_1024_counting_4.png,Bench in a park with two backpacks on it,"0,2656"
SD,1024,counting,005.SD_1024_counting_5.png,Nine children doing a circle dance around a Christmas tree,"0,2765"
SD,1024,counting,006.SD_1024_counting_6.png,An office desk with six laptops on it,"0,2653"
SD,1024,counting,007.SD_1024_counting_7.png,Person holding  four toy pyramids,"0,2732"
SD,1024,counting,008.SD_1024_counting_8.png,Five photograph prints are hanging to dry in a dark room,"0,2537"
SD,1024,counting,009.SD_1024_counting_9.png,Person carrying a stack of twelve books,"0,2503"
SD,1024,counting,010.SD_1024_counting_10.png,Two people juggling ten balls together,"0,2757"
SD,1024,counting,011.SD_1024_counting_11.png,Birthday cake with exactly twenty candles on it,"0,2688"
SD,1024,counting,012.SD_1024_counting_12.png,Office room with fifteen chairs,"0,2373"
SD,1024,conflicting,001.SD_1024_conflicting_1.png,A zebra without strips,"0,2572"
SD,1024,conflicting,002.SD_1024_conflicting_2.png,A penguin in a city,"0,2556"
SD,1024,conflicting,003.SD_1024_conflicting_3.png,Rainbow colored Ferrari,"0,2922"
SD,1024,conflicting,004.SD_1024_conflicting_4.png,A giraffe kissing a monkey,"0,2751"
SD,1024,conflicting,005.SD_1024_conflicting_5.png,A panda inside a cup of tea,"0,2975"
SD,1024,conflicting,006.SD_1024_conflicting_6.png,A giraffe inside a car,"0,2474"
SD,1024,conflicting,007.SD_1024_conflicting_7.png,An ant under the sea,"0,2096"
SD,1024,conflicting,008.SD_1024_conflicting_8.png,A motorcycle inside an oven,"0,2751"
SD,1024,conflicting,009.SD_1024_conflicting_9.png,A polar bear on the desert,"0,2913"
SD,1024,conflicting,010.SD_1024_conflicting_10.png,A man walking on the ceiling,"0,2193"
SD,1024,conflicting,011.SD_1024_conflicting_11.png,A fish eating a pelican,"0,2228"
SD,1024,conflicting,012.SD_1024_conflicting_12.png,A horse riding  an astronaut in the forest,"0,3322"
SD,1024,text,001.SD_1024_text_1.png,A sign that says 'Hello',"0,2312"
SD,1024,text,002.SD_1024_text_2.png,A sign that says 'World',"0,2040"
SD,1024,text,003.SD_1024_text_3.png,A sign that says 'Hello World',"0,2472"
SD,1024,text,004.SD_1024_text_4.png,A sign that says 'World Hello',"0,2570"
SD,1024,text,005.SD_1024_text_5.png,A sign that says 'Speed limit 45',"0,2154"
SD,1024,text,006.SD_1024_text_6.png,A sign that says 'Do not pass !',"0,2176"
SD,1024,text,007.SD_1024_text_7.png,A sign that says 'No pedestrians !',"0,2408"
SD,1024,text,008.SD_1024_text_8.png,A sign that says 'No overtaking !',"0,2247"
SD,1024,text,009.SD_1024_text_9.png,A sign that says 'No Goods materials',"0,2279"
SD,1024,text,010.SD_1024_text_10.png,A sign that says 'No hazardous materials',"0,2466"
SD,1024,text,011.SD_1024_text_11.png,A sign that says 'You must not turn Right!',"0,2167"
SD,1024,text,012.SD_1024_text_12.png,A sign that says 'Maximum speed limit 80 km',"0,2653"
SD,1024,positional,001.SD_1024_positional_1.png,A train on top of a surfboard,"0,2558"
SD,1024,positional,002.SD_1024_positional_2.png,A wine glass on top of a dog,"0,3031"
SD,1024,positional,003.SD_1024_positional_3.png,A bicycle on top of a boat,"0,2885"
SD,1024,positional,004.SD_1024_positional_4.png,An umbrella under a spoon,"0,2379"
SD,1024,positional,005.SD_1024_positional_5.png,A car on the left of a bus,"0,2501"
SD,1024,positional,006.SD_1024_positional_6.png,A black apple on the right of  a green backpack,"0,2602"
SD,1024,positional,007.SD_1024_positional_7.png,A carrot on the left of a broccoli,"0,2452"
SD,1024,positional,008.SD_1024_positional_8.png,A pizza on the right of a suitcase,"0,2824"
SD,1024,positional,009.SD_1024_positional_9.png,A cat on the right of a tennis racket,"0,3013"
SD,1024,positional,010.SD_1024_positional_10.png,A stop sign on the right of a refrigerator,"0,2903"
SD,1024,positional,011.SD_1024_positional_11.png,A sheep to the right of a wine glass,"0,3172"
SD,1024,positional,012.SD_1024_positional_12.png,A zebra to the right of a fire hydrant,"0,2747"
SD,1024,faces,001.SD_1024_faces_1.png,Face of a man with a goatee,"0,1976"
SD,1024,faces,002.SD_1024_faces_2.png,Face of an angry teacher,"0,2721"
SD,1024,faces,003.SD_1024_faces_3.png,Face of a kid with a tiger make-up,"0,2756"
SD,1024,faces,004.SD_1024_faces_4.png,Face of an old lady with blue hair and a wide smile,"0,2332"
SD,1024,faces,005.SD_1024_faces_5.png,A bald man doing a handstand,"0,2325"
SD,1024,faces,006.SD_1024_faces_6.png,Face of a woman with brown hair looking over her shoulder,"0,2048"
SD,1024,faces,007.SD_1024_faces_7.png,Sad face of a blonde girl holding a popped balloon,"0,2560"
SD,1024,faces,008.SD_1024_faces_8.png,Face of a weightlifting white hair Olympic gold medalist lifting 120kg with a referee next to it encouraging him,"0,2482"
SD,1024,faces,009.SD_1024_faces_9.png,The face of a soldier with camouflaged face painting obscured by leaves,"0,3196"
SD,1024,faces,010.SD_1024_faces_10.png,A face of a man with a beard with water splashing onto his face,"0,3273"
SD,1024,faces,011.SD_1024_faces_11.png,A dark messy hair boy rolling his tongue with blue light shinning on his face,"0,2406"
SD,1024,faces,012.SD_1024_faces_12.png,A young kid with dark eye bags standing in front of her grandma with wrinkles looking at the sky,"0,1892"
DL,512,coloring,001.DL_512_coloring_1.png,A red colored car,"0,2420"
DL,512,coloring,002.DL_512_coloring_2.png,A black colored car,"0,2236"
DL,512,coloring,003.DL_512_coloring_3.png,A pink colored car,"0,2711"
DL,512,coloring,004.DL_512_coloring_4.png,A navy blue colored car,"0,2502"
DL,512,coloring,005.DL_512_coloring_5.png,A red car and a white sheep,"0,3025"
DL,512,coloring,006.DL_512_coloring_6.png,A blue bird and a brown bear,"0,3777"
DL,512,coloring,007.DL_512_coloring_7.png,A green apple and a black backpack,"0,3216"
DL,512,coloring,008.DL_512_coloring_8.png,A green cup and a blue cell phone,"0,2977"
DL,512,coloring,009.DL_512_coloring_9.png,A red pencil in a green cup on a blue table,"0,3236"
DL,512,coloring,010.DL_512_coloring_10.png,An office with five desks and seven colorful chairs,"0,2525"
DL,512,coloring,011.DL_512_coloring_11.png,An orange bird scaring a blue scarecrow with a red pirate hat,"0,3090"
DL,512,coloring,012.DL_512_coloring_12.png,A photo of two pink football balls and three green basketball balls on a bench,"0,3493"
DL,512,counting,001.DL_512_counting_1.png,One tennis ball on the court,"0,2873"
DL,512,counting,002.DL_512_counting_2.png,Three people crossing  the street,"0,2454"
DL,512,counting,003.DL_512_counting_3.png,Two monkeys eating banana,"0,2690"
DL,512,counting,004.DL_512_counting_4.png,Bench in a park with two backpacks on it,"0,2688"
DL,512,counting,005.DL_512_counting_5.png,Nine children doing a circle dance around a Christmas tree,"0,2748"
DL,512,counting,006.DL_512_counting_6.png,An office desk with six laptops on it,"0,2962"
DL,512,counting,007.DL_512_counting_7.png,Person holding  four toy pyramids,"0,2602"
DL,512,counting,008.DL_512_counting_8.png,Five photograph prints are hanging to dry in a dark room,"0,2735"
DL,512,counting,009.DL_512_counting_9.png,Person carrying a stack of twelve books,"0,2768"
DL,512,counting,010.DL_512_counting_10.png,Two people juggling ten balls together,"0,3219"
DL,512,counting,011.DL_512_counting_11.png,Birthday cake with exactly twenty candles on it,"0,2490"
DL,512,counting,012.DL_512_counting_12.png,Office room with fifteen chairs,"0,2810"
DL,512,conflicting,001.DL_512_conflicting_1.png,A zebra without strips,"0,2730"
DL,512,conflicting,002.DL_512_conflicting_2.png,A penguin in a city,"0,2418"
DL,512,conflicting,003.DL_512_conflicting_3.png,Rainbow colored Ferrari,"0,2987"
DL,512,conflicting,004.DL_512_conflicting_4.png,A giraffe kissing a monkey,"0,2646"
DL,512,conflicting,005.DL_512_conflicting_5.png,A panda inside a cup of tea,"0,2912"
DL,512,conflicting,006.DL_512_conflicting_6.png,A giraffe inside a car,"0,2592"
DL,512,conflicting,007.DL_512_conflicting_7.png,An ant under the sea,"0,2560"
DL,512,conflicting,008.DL_512_conflicting_8.png,A motorcycle inside an oven,"0,2809"
DL,512,conflicting,009.DL_512_conflicting_9.png,A polar bear on the desert,"0,2300"
DL,512,conflicting,010.DL_512_conflicting_10.png,A man walking on the ceiling,"0,2288"
DL,512,conflicting,011.DL_512_conflicting_11.png,A fish eating a pelican,"0,3032"
DL,512,conflicting,012.DL_512_conflicting_12.png,A horse riding  an astronaut in the forest,"0,3325"
DL,512,text,001.DL_512_text_1.png,A sign that says 'Hello',"0,2530"
DL,512,text,002.DL_512_text_2.png,A sign that says 'World',"0,2778"
DL,512,text,003.DL_512_text_3.png,A sign that says 'Hello World',"0,2445"
DL,512,text,004.DL_512_text_4.png,A sign that says 'World Hello',"0,2675"
DL,512,text,005.DL_512_text_5.png,A sign that says 'Speed limit 45',"0,2787"
DL,512,text,006.DL_512_text_6.png,A sign that says 'Do not pass !',"0,2565"
DL,512,text,007.DL_512_text_7.png,A sign that says 'No pedestrians !',"0,2901"
DL,512,text,008.DL_512_text_8.png,A sign that says 'No overtaking !',"0,2264"
DL,512,text,009.DL_512_text_9.png,A sign that says 'No Goods materials',"0,2712"
DL,512,text,010.DL_512_text_10.png,A sign that says 'No hazardous materials',"0,2538"
DL,512,text,011.DL_512_text_11.png,A sign that says 'You must not turn Right!',"0,2470"
DL,512,text,012.DL_512_text_12.png,A sign that says 'Maximum speed limit 80 km',"0,3351"
DL,512,positional,001.DL_512_positional_1.png,A train on top of a surfboard,"0,2756"
DL,512,positional,002.DL_512_positional_2.png,A wine glass on top of a dog,"0,2904"
DL,512,positional,003.DL_512_positional_3.png,A bicycle on top of a boat,"0,2859"
DL,512,positional,004.DL_512_positional_4.png,An umbrella under a spoon,"0,2686"
DL,512,positional,005.DL_512_positional_5.png,A car on the left of a bus,"0,2221"
DL,512,positional,006.DL_512_positional_6.png,A black apple on the right of  a green backpack,"0,3167"
DL,512,positional,007.DL_512_positional_7.png,A carrot on the left of a broccoli,"0,2363"
DL,512,positional,008.DL_512_positional_8.png,A pizza on the right of a suitcase,"0,2609"
DL,512,positional,009.DL_512_positional_9.png,A cat on the right of a tennis racket,"0,3012"
DL,512,positional,010.DL_512_positional_10.png,A stop sign on the right of a refrigerator,"0,3098"
DL,512,positional,011.DL_512_positional_11.png,A sheep to the right of a wine glass,"0,3247"
DL,512,positional,012.DL_512_positional_12.png,A zebra to the right of a fire hydrant,"0,3254"
DL,512,faces,001.DL_512_faces_1.png,Face of a man with a goatee,"0,2109"
DL,512,faces,002.DL_512_faces_2.png,Face of an angry teacher,"0,2227"
DL,512,faces,003.DL_512_faces_3.png,Face of a kid with a tiger make-up,"0,3037"
DL,512,faces,004.DL_512_faces_4.png,Face of an old lady with blue hair and a wide smile,"0,2955"
DL,512,faces,005.DL_512_faces_5.png,A bald man doing a handstand,"0,3143"
DL,512,faces,006.DL_512_faces_6.png,Face of a woman with brown hair looking over her shoulder,"0,1793"
DL,512,faces,007.DL_512_faces_7.png,Sad face of a blonde girl holding a popped balloon,"0,2987"
DL,512,faces,008.DL_512_faces_8.png,Face of a weightlifting white hair Olympic gold medalist lifting 120kg with a referee next to it encouraging him,"0,2558"
DL,512,faces,009.DL_512_faces_9.png,The face of a soldier with camouflaged face painting obscured by leaves,"0,3172"
DL,512,faces,010.DL_512_faces_10.png,A face of a man with a beard with water splashing onto his face,"0,2940"
DL,512,faces,011.DL_512_faces_11.png,A dark messy hair boy rolling his tongue with blue light shinning on his face,"0,3192"
DL,512,faces,012.DL_512_faces_12.png,A young kid with dark eye bags standing in front of her grandma with wrinkles looking at the sky,"0,2770"
DL,1024,coloring,001.DL_1024_coloring_1.png,A red colored car,"0,2371"
DL,1024,coloring,002.DL_1024_coloring_2.png,A black colored car,"0,2266"
DL,1024,coloring,003.DL_1024_coloring_3.png,A pink colored car,"0,2456"
DL,1024,coloring,004.DL_1024_coloring_4.png,A navy blue colored car,"0,2409"
DL,1024,coloring,005.DL_1024_coloring_5.png,A red car and a white sheep,"0,2768"
DL,1024,coloring,006.DL_1024_coloring_6.png,A blue bird and a brown bear,"0,3322"
DL,1024,coloring,007.DL_1024_coloring_7.png,A green apple and a black backpack,"0,2973"
DL,1024,coloring,008.DL_1024_coloring_8.png,A green cup and a blue cell phone,"0,2771"
DL,1024,coloring,009.DL_1024_coloring_9.png,A red pencil in a green cup on a blue table,"0,3046"
DL,1024,coloring,010.DL_1024_coloring_10.png,An office with five desks and seven colorful chairs,"0,2782"
DL,1024,coloring,011.DL_1024_coloring_11.png,An orange bird scaring a blue scarecrow with a red pirate hat,"0,3182"
DL,1024,coloring,012.DL_1024_coloring_12.png,A photo of two pink football balls and three green basketball balls on a bench,"0,3447"
DL,1024,counting,001.DL_1024_counting_1.png,One tennis ball on the court,"0,2833"
DL,1024,counting,002.DL_1024_counting_2.png,Three people crossing  the street,"0,2632"
DL,1024,counting,003.DL_1024_counting_3.png,Two monkeys eating banana,"0,2841"
DL,1024,counting,004.DL_1024_counting_4.png,Bench in a park with two backpacks on it,"0,3045"
DL,1024,counting,005.DL_1024_counting_5.png,Nine children doing a circle dance around a Christmas tree,"0,2747"
DL,1024,counting,006.DL_1024_counting_6.png,An office desk with six laptops on it,"0,2876"
DL,1024,counting,007.DL_1024_counting_7.png,Person holding  four toy pyramids,"0,2391"
DL,1024,counting,008.DL_1024_counting_8.png,Five photograph prints are hanging to dry in a dark room,"0,3115"
DL,1024,counting,009.DL_1024_counting_9.png,Person carrying a stack of twelve books,"0,2817"
DL,1024,counting,010.DL_1024_counting_10.png,Two people juggling ten balls together,"0,3155"
DL,1024,counting,011.DL_1024_counting_11.png,Birthday cake with exactly twenty candles on it,"0,2612"
DL,1024,counting,012.DL_1024_counting_12.png,Office room with fifteen chairs,"0,2557"
DL,1024,conflicting,001.DL_1024_conflicting_1.png,A zebra without strips,"0,2714"
DL,1024,conflicting,002.DL_1024_conflicting_2.png,A penguin in a city,"0,2074"
DL,1024,conflicting,003.DL_1024_conflicting_3.png,Rainbow colored Ferrari,"0,3101"
DL,1024,conflicting,004.DL_1024_conflicting_4.png,A giraffe kissing a monkey,"0,2601"
DL,1024,conflicting,005.DL_1024_conflicting_5.png,A panda inside a cup of tea,"0,3148"
DL,1024,conflicting,006.DL_1024_conflicting_6.png,A giraffe inside a car,"0,2882"
DL,1024,conflicting,007.DL_1024_conflicting_7.png,An ant under the sea,"0,2074"
DL,1024,conflicting,008.DL_1024_conflicting_8.png,A motorcycle inside an oven,"0,3445"
DL,1024,conflicting,009.DL_1024_conflicting_9.png,A polar bear on the desert,"0,2518"
DL,1024,conflicting,010.DL_1024_conflicting_10.png,A man walking on the ceiling,"0,2437"
DL,1024,conflicting,011.DL_1024_conflicting_11.png,A fish eating a pelican,"0,2986"
DL,1024,conflicting,012.DL_1024_conflicting_12.png,A horse riding  an astronaut in the forest,"0,3266"
DL,1024,text,001.DL_1024_text_1.png,A sign that says 'Hello',"0,2687"
DL,1024,text,002.DL_1024_text_2.png,A sign that says 'World',"0,2640"
DL,1024,text,003.DL_1024_text_3.png,A sign that says 'Hello World',"0,2364"
DL,1024,text,004.DL_1024_text_4.png,A sign that says 'World Hello',"0,2900"
DL,1024,text,005.DL_1024_text_5.png,A sign that says 'Speed limit 45',"0,2793"
DL,1024,text,006.DL_1024_text_6.png,A sign that says 'Do not pass !',"0,2750"
DL,1024,text,007.DL_1024_text_7.png,A sign that says 'No pedestrians !',"0,2848"
DL,1024,text,008.DL_1024_text_8.png,A sign that says 'No overtaking !',"0,2520"
DL,1024,text,009.DL_1024_text_9.png,A sign that says 'No Goods materials',"0,2273"
DL,1024,text,010.DL_1024_text_10.png,A sign that says 'No hazardous materials',"0,2196"
DL,1024,text,011.DL_1024_text_11.png,A sign that says 'You must not turn Right!',"0,2256"
DL,1024,text,012.DL_1024_text_12.png,A sign that says 'Maximum speed limit 80 km',"0,3387"
DL,1024,positional,001.DL_1024_positional_1.png,A train on top of a surfboard,"0,3365"
DL,1024,positional,002.DL_1024_positional_2.png,A wine glass on top of a dog,"0,2205"
DL,1024,positional,003.DL_1024_positional_3.png,A bicycle on top of a boat,"0,3014"
DL,1024,positional,004.DL_1024_positional_4.png,An umbrella under a spoon,"0,3008"
DL,1024,positional,005.DL_1024_positional_5.png,A car on the left of a bus,"0,2348"
DL,1024,positional,006.DL_1024_positional_6.png,A black apple on the right of  a green backpack,"0,2905"
DL,1024,positional,007.DL_1024_positional_7.png,A carrot on the left of a broccoli,"0,2606"
DL,1024,positional,008.DL_1024_positional_8.png,A pizza on the right of a suitcase,"0,3533"
DL,1024,positional,009.DL_1024_positional_9.png,A cat on the right of a tennis racket,"0,3096"
DL,1024,positional,010.DL_1024_positional_10.png,A stop sign on the right of a refrigerator,"0,2933"
DL,1024,positional,011.DL_1024_positional_11.png,A sheep to the right of a wine glass,"0,3191"
DL,1024,positional,012.DL_1024_positional_12.png,A zebra to the right of a fire hydrant,"0,3430"
DL,1024,faces,001.DL_1024_faces_1.png,Face of a man with a goatee,"0,2529"
DL,1024,faces,002.DL_1024_faces_2.png,Face of an angry teacher,"0,2373"
DL,1024,faces,003.DL_1024_faces_3.png,Face of a kid with a tiger make-up,"0,2976"
DL,1024,faces,004.DL_1024_faces_4.png,Face of an old lady with blue hair and a wide smile,"0,2719"
DL,1024,faces,005.DL_1024_faces_5.png,A bald man doing a handstand,"0,3093"
DL,1024,faces,006.DL_1024_faces_6.png,Face of a woman with brown hair looking over her shoulder,"0,1629"
DL,1024,faces,007.DL_1024_faces_7.png,Sad face of a blonde girl holding a popped balloon,"0,2957"
DL,1024,faces,008.DL_1024_faces_8.png,Face of a weightlifting white hair Olympic gold medalist lifting 120kg with a referee next to it encouraging him,"0,2537"
DL,1024,faces,009.DL_1024_faces_9.png,The face of a soldier with camouflaged face painting obscured by leaves,"0,3096"
DL,1024,faces,010.DL_1024_faces_10.png,A face of a man with a beard with water splashing onto his face,"0,2931"
DL,1024,faces,011.DL_1024_faces_11.png,A dark messy hair boy rolling his tongue with blue light shinning on his face,"0,3006"
DL,1024,faces,012.DL_1024_faces_12.png,A young kid with dark eye bags standing in front of her grandma with wrinkles looking at the sky,"0,3093"
PA,512,coloring,001.PA_512_coloring_1.png,A red colored car,"0,2341"
PA,512,coloring,002.PA_512_coloring_2.png,A black colored car,"0,2116"
PA,512,coloring,003.PA_512_coloring_3.png,A pink colored car,"0,2390"
PA,512,coloring,004.PA_512_coloring_4.png,A navy blue colored car,"0,2503"
PA,512,coloring,005.PA_512_coloring_5.png,A red car and a white sheep,"0,2965"
PA,512,coloring,006.PA_512_coloring_6.png,A blue bird and a brown bear,"0,3216"
PA,512,coloring,007.PA_512_coloring_7.png,A green apple and a black backpack,"0,3232"
PA,512,coloring,008.PA_512_coloring_8.png,A green cup and a blue cell phone,"0,2479"
PA,512,coloring,009.PA_512_coloring_9.png,A red pencil in a green cup on a blue table,"0,2878"
PA,512,coloring,010.PA_512_coloring_10.png,An office with five desks and seven colorful chairs,"0,3049"
PA,512,coloring,011.PA_512_coloring_11.png,An orange bird scaring a blue scarecrow with a red pirate hat,"0,2903"
PA,512,coloring,012.PA_512_coloring_12.png,A photo of two pink football balls and three green basketball balls on a bench,"0,3429"
PA,512,counting,001.PA_512_counting_1.png,One tennis ball on the court,"0,3041"
PA,512,counting,002.PA_512_counting_2.png,Three people crossing  the street,"0,2015"
PA,512,counting,003.PA_512_counting_3.png,Two monkeys eating banana,"0,2866"
PA,512,counting,004.PA_512_counting_4.png,Bench in a park with two backpacks on it,"0,2857"
PA,512,counting,005.PA_512_counting_5.png,Nine children doing a circle dance around a Christmas tree,"0,2530"
PA,512,counting,006.PA_512_counting_6.png,An office desk with six laptops on it,"0,2505"
PA,512,counting,007.PA_512_counting_7.png,Person holding  four toy pyramids,"0,2646"
PA,512,counting,008.PA_512_counting_8.png,Five photograph prints are hanging to dry in a dark room,"0,2395"
PA,512,counting,009.PA_512_counting_9.png,Person carrying a stack of twelve books,"0,3091"
PA,512,counting,010.PA_512_counting_10.png,Two people juggling ten balls together,"0,3433"
PA,512,counting,011.PA_512_counting_11.png,Birthday cake with exactly twenty candles on it,"0,2692"
